Issue Type,Summary,Description,Priority,Story Points,Epic Link,Sprint,Labels,Assignee,Acceptance Criteria
Epic,Ansible Build & Deployment,Deploy full AIOps substrate using Ansible automation via Docker,High,55,,"learn-ansible,learn-docker,deployment",,All infrastructure deployed and operational via Ansible

Story,Build VM Template with Packer,Create CentOS 9 VM template with cloud-init and k3s prerequisites,High,8,Ansible Build & Deployment,Sprint 2,"learn-packer,learn-terraform,infrastructure",,"Proxmox API credentials configured|Packer template validated|CentOS 9 template created in Proxmox|Cloud-init working|Containerd and k3s prerequisites installed"
Story,Provision Infrastructure with Terraform,Deploy VMs load balancers and network using Terraform,High,8,Ansible Build & Deployment,Sprint 2,"learn-terraform,infrastructure",,"Terraform variables configured|Infrastructure plan reviewed|2x HAProxy LBs created|3x control plane VMs created|3x worker VMs created|1x bastion host created|Network and firewall rules applied"
Story,Deploy k3s Cluster with Ansible,Install and configure k3s cluster using Ansible playbooks,High,13,Ansible Build & Deployment,Sprint 3,"learn-ansible,learn-kubernetes,critical",,"Ansible inventory generated|All hosts respond to ping|Pre-flight checks passed|HAProxy deployed with Keepalived VIP|k3s control plane deployed (3 nodes)|k3s workers joined (3 nodes)|Kubeconfig fetched|All nodes showing Ready status"
Story,Deploy Platform Applications,Deploy Vault Ollama MinIO and AI Ops Agent using Ansible,High,13,Ansible Build & Deployment,Sprint 3,"learn-ansible,learn-kubernetes,platform",,"Storage provisioner deployed|Vault deployed and initialized|Ollama deployed with llama3.1:8b model|MinIO S3 storage deployed|AI Ops Agent deployed|Autoscaler CronJob deployed|All pods in Running status"
Story,Deploy Autoscaler Service,Build and deploy VM autoscaling service,Medium,5,Ansible Build & Deployment,Sprint 3,"learn-docker,automation,autoscaler",,"Autoscaler Docker image built|Image pushed to registry|Autoscaler deployed to k3s|Manual scale-up test successful|Manual scale-down test successful"
Story,Post-Deployment Configuration,Configure DNS firewall and optional monitoring,Medium,8,Ansible Build & Deployment,Sprint 4,"infrastructure,monitoring,best-practice",,"DNS records configured for services|NodePort firewall rules applied|Monitoring deployed (optional)|Backups configured (optional)|Access documentation updated"

Task,Configure Proxmox API Credentials,Export PM_API_URL PM_API_TOKEN_ID and PM_API_TOKEN_SECRET,High,1,Ansible Build & Deployment,Sprint 2,"learn-terraform,setup",,"Environment variables exported for Packer/Terraform"
Task,Validate Packer Template,Run make packer-validate to verify template syntax,High,1,Ansible Build & Deployment,Sprint 2,"learn-packer,validation",,"Packer template validation successful"
Task,Build CentOS 9 Template,Execute make packer-build to create VM template,High,5,Ansible Build & Deployment,Sprint 2,"learn-packer,infrastructure",,"centos9-cloud template created in Proxmox|Template includes cloud-init|Containerd installed|Time: 20-30 minutes"
Task,Configure Terraform Variables,Copy and edit terraform.tfvars with credentials and network config,High,2,Ansible Build & Deployment,Sprint 2,"learn-terraform,setup",,"terraform.tfvars configured with API tokens|SSH public keys added|VPC CIDR configured|Node counts set"
Task,Initialize Terraform,Run make init-prod to initialize Terraform state,High,1,Ansible Build & Deployment,Sprint 2,"learn-terraform",,"Terraform initialized with Proxmox backend"
Task,Plan Infrastructure,Run make plan-prod and review planned resources,High,1,Ansible Build & Deployment,Sprint 2,"learn-terraform,planning",,"Infrastructure plan reviewed|Expected 16 total VMs|Network and firewall rules verified"
Task,Apply Infrastructure,Execute make apply-prod to create VMs,High,3,Ansible Build & Deployment,Sprint 2,"learn-terraform,infrastructure",,"All VMs created successfully|VMs accessible via SSH|Time: 10-15 minutes"
Task,Verify VM Creation,Run make vm-list to confirm all VMs exist,Medium,1,Ansible Build & Deployment,Sprint 2,"validation",,"All expected VMs visible in Proxmox"
Task,Update Ansible Inventory,Generate inventory from Terraform output,High,1,Ansible Build & Deployment,Sprint 3,"learn-ansible,setup",,"Ansible inventory file created at inventory/proxmox.yml|All hosts listed correctly"
Task,Test Ansible Connectivity,Run make ansible-ping to verify SSH access,High,1,Ansible Build & Deployment,Sprint 3,"learn-ansible,validation",,"All hosts respond with pong"
Task,Run Pre-flight Checks,Execute make ansible-preflight for system validation,High,1,Ansible Build & Deployment,Sprint 3,"learn-ansible,validation",,"OS compatibility verified|Memory >= 2GB|Disk space >= 10GB|SSH access confirmed"
Task,Deploy HAProxy Load Balancers,Deploy HAProxy with Keepalived using Ansible,High,2,Ansible Build & Deployment,Sprint 3,"learn-ansible,networking",,"HAProxy deployed on 2 nodes|Keepalived configured|VIP 10.100.0.5 active"
Task,Initialize First Control Plane Node,Deploy k3s on k3s-cp-01,High,2,Ansible Build & Deployment,Sprint 3,"learn-ansible,learn-kubernetes",,"First control plane node running|Embedded etcd initialized"
Task,Join Additional Control Plane Nodes,Add k3s-cp-02 and k3s-cp-03 to cluster,High,2,Ansible Build & Deployment,Sprint 3,"learn-ansible,learn-kubernetes",,"3 control plane nodes in cluster|HA configuration verified"
Task,Join Worker Nodes,Add k3s-worker-01 02 03 to cluster,High,2,Ansible Build & Deployment,Sprint 3,"learn-ansible,learn-kubernetes",,"3 worker nodes joined|Nodes labeled as workers"
Task,Configure kubectl Access,Setup local kubectl configuration,Medium,1,Ansible Build & Deployment,Sprint 3,"learn-kubernetes,setup",,"Kubeconfig saved to ~/.kube/config-aiops-prod|kubectl get nodes working"
Task,Verify Cluster Status,Check all nodes are Ready and pods are running,High,1,Ansible Build & Deployment,Sprint 3,"validation,learn-kubernetes",,"All nodes status: Ready|System pods running|No NotReady nodes"
Task,Deploy Local Path Provisioner,Deploy storage provisioner for persistent volumes,High,1,Ansible Build & Deployment,Sprint 3,"learn-kubernetes,storage",,"local-path provisioner deployed|Default StorageClass created"
Task,Deploy Vault,Install HashiCorp Vault in k3s,High,2,Ansible Build & Deployment,Sprint 3,"learn-kubernetes,security",,"Vault deployed to vault namespace|Vault initialized|Unseal keys saved securely|Root token saved"
Task,Deploy Ollama,Install Ollama LLM runtime with Llama model,High,3,Ansible Build & Deployment,Sprint 3,"learn-kubernetes,learn-llm",,"Ollama deployed to aiops namespace|llama3.1:8b model pulled|Model verification successful|API accessible"
Task,Deploy MinIO,Install MinIO S3-compatible object storage,High,2,Ansible Build & Deployment,Sprint 3,"learn-kubernetes,storage",,"MinIO deployed to aiops namespace|S3 API accessible|Console accessible via port-forward|Credentials configured"
Task,Deploy AI Ops Agent,Install FastAPI AI agent service,High,2,Ansible Build & Deployment,Sprint 3,"learn-kubernetes,learn-python",,"AI Ops Agent deployed to aiops namespace|Health endpoint responding|Intent API working|Ollama integration verified"
Task,Deploy Autoscaler CronJob,Install VM autoscaling service,Medium,2,Ansible Build & Deployment,Sprint 3,"learn-kubernetes,automation",,"Autoscaler deployed to autoscaler namespace|Proxmox credentials configured|CronJob schedule set"
Task,Verify All Applications,Check all pods are Running across namespaces,High,1,Ansible Build & Deployment,Sprint 3,"validation,learn-kubernetes",,"All application pods Running|No CrashLoopBackOff|No ImagePullBackOff"
Task,Test AI Agent Health Endpoint,Curl health check on AI agent,Medium,1,Ansible Build & Deployment,Sprint 3,"validation,testing",,"Health endpoint returns {status:healthy}|Response time <1s"
Task,Test Natural Language Intent,Send NL request to AI agent API,Medium,1,Ansible Build & Deployment,Sprint 3,"validation,testing,learn-llm",,"Intent recognition working|JSON response with intent and schema|Response includes Terraform/Ansible context"
Task,Build Autoscaler Docker Image,Create Docker image for autoscaler service,Medium,2,Ansible Build & Deployment,Sprint 3,"learn-docker,coding",,"Dockerfile created|Image builds successfully|make autoscaler-build working"
Task,Push Autoscaler to Registry,Upload autoscaler image to container registry,Medium,1,Ansible Build & Deployment,Sprint 3,"learn-docker,deployment",,"Image pushed to registry|Image pullable from k3s nodes"
Task,Test Manual Scale-Up,Trigger VM scale-up operation,Medium,1,Ansible Build & Deployment,Sprint 3,"validation,testing,autoscaler",,"Scale-up command successful|New VMs started|VMs visible in Proxmox"
Task,Test Manual Scale-Down,Trigger VM scale-down operation,Medium,1,Ansible Build & Deployment,Sprint 3,"validation,testing,autoscaler",,"Scale-down command successful|VMs stopped|Resources freed"
Task,Configure DNS Records,Point DNS to deployed services,Medium,2,Ansible Build & Deployment,Sprint 4,"networking,infrastructure",,"aiops.corp.example.com resolves|vault.corp.example.com resolves|minio.corp.example.com resolves"
Task,Configure Firewall Rules,Open NodePort range on worker nodes,Medium,2,Ansible Build & Deployment,Sprint 4,"security,networking",,"Firewall rules applied (30000-32767/tcp)|Rules persistent across reboots|Services accessible externally"
Task,Deploy Prometheus (Optional),Install Prometheus and Grafana monitoring,Low,3,Ansible Build & Deployment,Sprint 4,"monitoring,learn-kubernetes,optional",,"Prometheus deployed|Grafana deployed|Dashboards accessible|Metrics scraping working"
Task,Deploy Velero Backups (Optional),Setup cluster backup solution,Low,3,Ansible Build & Deployment,Sprint 4,"backup,best-practice,optional",,"Velero deployed|Backup schedule configured|Test backup successful|Restore tested"
Task,Document Service Access,Create access information table with URLs and credentials,Medium,2,Ansible Build & Deployment,Sprint 4,"documentation",,"Service URLs documented|Credentials table created|Port-forward commands listed"
Task,Create Troubleshooting Runbook,Document common issues and solutions,Medium,2,Ansible Build & Deployment,Sprint 4,"documentation,best-practice",,"Common issues documented|Solutions provided|Debug commands listed"
Task,Final Verification,Run complete deployment verification,High,1,Ansible Build & Deployment,Sprint 4,"validation,testing",,"make ansible-verify passes|kubectl get nodes shows all Ready|kubectl get pods -A shows all Running|AI agent responds to test requests"
